사타, 62, 165
자차, 72, 171
파사, 46, 191
사나, 51, 182
차가, 41, 196
다마, 68, 179
자가, 46, 169
바하, 92, 150
자타, 59, 161
사파, 87, 182
라사, 79, 162
아카, 58, 152
아파, 85, 189
나타, 55, 163
타아, 61, 151
차자, 68, 149
카가, 67, 184
마자, 43, 154
차타, 82, 191
라차, 60, 153
사나, 75, 174
가타, 50, 142
타라, 48, 189
아다, 59, 195
다차, 71, 150
바차, 87, 188
아마, 56, 163
바다, 99, 175
하가, 78, 154
하카, 75, 161
바라, 83, 144
하하, 58, 196
사가, 41, 194
자마, 44, 141
사다, 95, 166
타하, 66, 171
파바, 54, 155
다아, 71, 190
마아, 65, 168
아아, 58, 181
차카, 40, 196
나나, 68, 157
가타, 61, 199
아라, 68, 166
사마, 85, 189
타마, 56, 162
타나, 92, 172
자자, 73, 144
차자, 68, 174
하아, 73, 199
가하, 64, 149
아다, 48, 164
바사, 48, 148
카가, 67, 149
자가, 54, 186
카차, 69, 154
아하, 89, 162
다타, 70, 169
나카, 52, 179
파자, 96, 158
타사, 49, 173
아자, 91, 190
자바, 94, 140
타다, 68, 196
타자, 85, 144
아가, 58, 147
카아, 49, 167
나라, 66, 196
하아, 87, 170
라차, 64, 154
타자, 81, 144
사차, 61, 153
바나, 97, 184
라나, 40, 162
아차, 59, 176
파가, 58, 142
카나, 69, 191
마나, 55, 185
하타, 77, 164
차나, 93, 184
가차, 55, 163
차하, 99, 148
하가, 91, 142
나다, 56, 196
카다, 61, 162
나하, 61, 161
다나, 55, 172
차마, 64, 197
차다, 66, 176
타카, 88, 175
파바, 94, 171
하파, 40, 153
다아, 69, 188
차바, 72, 192
다자, 42, 157
가바, 61, 172
나나, 68, 154
자파, 66, 140
사사, 56, 160
사다, 98, 166
